date,total confirmed cases,daily confirmed cases,active cases,total recovered,daily recovered  ,total confirmed deaths,daily confirmed deaths,critical condition,cumulative total tests,schools closing down,protection,protection,,,,,,,,,
,,17252,,,,,,,,,shops,public transport,,,,,,,,,
"Dec 31, 2019",0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,
"Jan 1, 2020",0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,
"Jan 2, 2020",0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,
"Jan 3, 2020",0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,
"Jan 4, 2020",0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,
"Jan 5, 2020",0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,
"Jan 6, 2020",0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,
"Jan 7, 2020",0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,
"Jan 8, 2020",0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,
"Jan 9, 2020",0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,
"Jan 10, 2020",0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,
"Jan 11, 2020",0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,
"Jan 12, 2020",0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,
"Jan 13, 2020",0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,
"Jan 14, 2020",0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,
"Jan 15, 2020",0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,
"Jan 16, 2020",0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,
"Jan 17, 2020",0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,
"Jan 18, 2020",0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,
"Jan 19, 2020",0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,
"Jan 20, 2020",0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,
"Jan 21, 2020",0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,
"Jan 22, 2020",0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,
"Jan 23, 2020",0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,
"Jan 24, 2020",0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,
"Jan 25, 2020",0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,
"Jan 26, 2020",0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,
"Jan 27, 2020",0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,
"Jan 28, 2020",0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,
"Jan 29, 2020",0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,
"Jan 30, 2020",0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,
"Jan 31, 2020",0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,
"Feb 1, 2020",0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,
"Feb 2, 2020",0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,
"Feb 3, 2020",0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,
"Feb 4, 2020",0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,
"Feb 5, 2020",0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,
"Feb 6, 2020",0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,
"Feb 7, 2020",0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,
"Feb 8, 2020",0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,
